created_at,user_id,topic_id,processed_message
2023-10-24,1,0,cerita rasakan tugas dimensi pesimis tugas sanggup menangis sadar tugas mudah matkul seperi tokopedia
2023-10-24,2,1,senang mempelajari materi 3d materi menarik bermanfaat suka mempelajari objek 3d bentuk dasar objek kompleks suka mempelajari teknik memanipulasi objek 3d suka materi kompleks membutuhkan dipelajari materi terkadang teoritis praktikal perbaikan berharap materi dikemas sistematis mudah dipahami berharap materi difokuskan praktikum mahasiswa langsung menerapkan teori dipelajari pengalaman asistensi proses asistensi validasi berjalan asisten praktikum membantu sabar
2023-10-24,2,0,senang mempelajari materi 3d materi menarik bermanfaat suka mempelajari objek 3d bentuk dasar objek kompleks suka mempelajari teknik memanipulasi objek 3d suka materi kompleks membutuhkan dipelajari materi terkadang teoritis praktikal perbaikan berharap materi dikemas sistematis mudah dipahami berharap materi difokuskan praktikum mahasiswa langsung menerapkan teori dipelajari proses asistensi validasi berjalan asisten praktikum membantu sabar
2023-10-24,3,0,mempelajari materi seru diawal kesusahan basic web mendampingi bab terkesan menarik terstruktur
2023-10-24,4,1,pusing belajar blender ya allah bismillah lancar selesai suka belajar mgv benarbenar membawa perubahan suka mencaricari asistem praktek terkadang sulit dihubungi belajar benarbenar otodidak aplikasi asing toolsnya pengalaman menambah ilmu jurusan tau
2023-10-24,5,0,pengalaman projekprojek mata kuliah inovasi media grafis visual projek2 nya penuh tekateki menantang suka nya dilatih gerak cepat memdesain suka memiliki basic desain mengalami kesulitan teman-teman memiliki basic desain
2023-10-24,6,0,suka materi ilmu desain 3d kuranhg suka membutuhkan device mumpuni asdos membantu mahasiswa pemahaman judulnya
2023-10-24,5,1,pengalaman projek 3 dimensi suka sukanya kebanyakan sukanya membuatnya aplikasi blender ya suruh projek 3 dimensi pengalaman pastinya terlupakan kepanikan2 nya
2023-10-24,7,0,mempelajari materi bingung darimana basic desain 3d belajar step by step hasil sesuai kemampuanku sebisaku hehe
2023-10-24,7,1,alhamdulillah mengajukan judul langsung ac ya tuhan tau ku segimana bersyukur apapun hasilnya berproses semaksimal
2023-10-24,8,0,salah mata kuliah favorit didalamnya pembelajaran seru monotontidak membosankandi pembelajaran lecturer menuntut mahasiswa mengikuti beliaunamun membebaskan mahasiswa kekreatifan dimiliki mahasiswa disiplin teratur membangn semangat mahasiswa penyediaan bintng bab i love mgv
2023-10-24,10,0,expect ngejain 3d but seru banget belajarnya walopun kayak rollercoaster semangat ya mentemen makasi bantu hehehe
2023-10-24,9,0,pengalaman materi senang menantang mengasah ilmu pelajari smk mengulik software nya pelajari sekolah menengah kejuruan pengalaman asistensi validasi rasakan tugas proyek tertantang menghadap dosen asisten dosen asisten praktek tata nya sopan hasil proyek bertele tele gerogi demonstrasi
2023-10-24,11,0,kali menceritakan pengalaman mempelajari mgv materi mgv diunggulkan berasal smk menang start dibanding teman asistensi asprak demonstrasi produk langsung dosen awwalnya kaget diharuskan laporan terbiasa aplikasi word diajari teman menyelesaikan tugas mgv memiliki kendala asistensi teman mengeluhkan asisten sensitif terkesan susah diajak kompromi tugas selesai haya pengalaman ceritakan
2023-10-24,12,0,pengalaman materi senang seru menantang mengasah ilmu pelajari smk mendalami 3d blender
2023-10-24,13,0,materi 3d susah memiliki pengalaman dasar desain 3d aplikasi rumit susah pelajari materi pengembangan skil desain pastinya pengalaman berguna kedepannya
2023-10-25,14,0,atasi mempelajari modeling software diperintahkan berhasil membuatnya sempurna lms jiga membantu tenggat proyek
